,player name,box off,box def,box total,onoff off,onoff def,onoff total,raptor off,raptor def,raptor total,war
60,Jarred Vanderbilt,-0.4,2.3,2.0,3.7,0.0,3.7,0.4,2.0,2.4,4.6
61,Andrew Wiggins,-0.2,1.7,1.5,-0.5,0.9,0.4,-0.3,1.6,1.3,4.5
62,Alex Caruso,0.7,4.4,5.1,-2.2,6.5,4.4,0.2,5.1,5.3,4.4
63,Shai Gilgeous-Alexander,2.4,-0.6,1.8,2.7,-2.9,-0.2,2.8,-1.1,1.7,4.4
64,Scottie Barnes,0.6,1.1,1.8,-2.8,-0.6,-3.3,0.0,0.8,0.8,4.3
65,Pascal Siakam,0.8,-0.6,0.2,3.4,0.1,3.5,1.4,-0.5,0.9,4.3
66,Deni Avdija,-1.1,2.4,1.4,0.4,2.6,3.0,-0.8,2.7,1.9,4.2
67,Jordan Clarkson,2.3,-1.2,1.1,1.1,1.9,3.0,2.1,-0.6,1.5,4.2
68,Bobby Portis,0.0,1.2,1.2,3.2,0.0,3.3,0.6,1.0,1.6,4.2
69,Khris Middleton,2.6,-1.4,1.3,1.6,-0.5,1.1,2.5,-1.3,1.3,4.1
70,P.J. Tucker,-1.2,2.1,0.9,0.8,3.2,4.0,-0.8,2.4,1.6,4.1
71,Kevin Love,2.5,0.9,3.5,-1.8,-0.9,-2.7,1.8,0.6,2.4,4.0
72,Robert Covington,-1.7,2.9,1.2,0.0,1.8,1.8,-1.4,2.9,1.5,3.9
73,Dorian Finney-Smith,-1.0,1.1,0.1,4.6,-3.1,1.6,0.1,0.3,0.4,3.9
74,Montrezl Harrell,2.2,-0.2,2.0,0.6,1.9,2.4,2.0,0.3,2.3,3.9
75,Keldon Johnson,0.6,-0.3,0.3,2.7,-0.1,2.6,1.1,-0.3,0.8,3.9
76,Otto Porter Jr.,1.4,2.0,3.4,-0.3,2.0,1.6,1.1,2.1,3.2,3.9
77,Gary Trent Jr.,1.2,-0.3,0.9,2.7,-2.8,-0.1,1.6,-0.9,0.7,3.9
78,Tyler Herro,2.2,-1.1,1.2,1.4,-1.0,0.4,2.2,-1.1,1.0,3.8
79,Matisse Thybulle,-2.0,4.5,2.5,-2.0,2.2,0.2,-2.1,4.2,2.1,3.8
80,Wendell Carter Jr.,-0.8,0.9,0.2,1.0,3.2,4.2,-0.3,1.5,1.1,3.7
81,Bogdan Bogdanovic,2.5,-1.1,1.4,1.7,-0.1,1.6,2.5,-0.9,1.5,3.6
82,Buddy Hield,1.1,-0.8,0.3,1.2,-0.9,0.3,1.2,-0.8,0.4,3.6
83,Zach LaVine,3.0,-2.3,0.8,0.7,-1.3,-0.6,2.7,-2.2,0.5,3.6
84,Terance Mann,-0.3,0.2,-0.1,0.7,2.3,2.9,-0.1,0.6,0.5,3.6
85,Bradley Beal,1.9,-0.2,1.7,-1.3,3.7,2.4,1.4,0.6,2.0,3.5
